chrom	left_start	left_end	right_start	right_end
combined	34	55	137	166
combined	97	124	207	234
combined	172	208	299	327
combined	262	287	381	405
combined	334	358	449	470
combined	417	441	540	565
combined	493	514	609	631
combined	588	605	688	710
combined	665	687	774	795
combined	732	757	857	884
combined	810	834	927	955
combined	907	928	1023	1043
combined	978	1002	1087	1122
combined	1055	1079	1176	1200
combined	1143	1168	1261	1283
combined	1211	1231	1345	1367
combined	1304	1328	1407	1435
combined	1390	1406	1495	1523
combined	1450	1478	1568	1595
combined	1528	1553	1656	1682
combined	1622	1647	1732	1754
combined	1688	1710	1811	1837
combined	1771	1794	1887	1913
combined	1857	1883	1978	2006
combined	1935	1961	2053	2081
combined	2029	2048	2130	2157
combined	2102	2127	2208	2234
combined	2176	2197	2288	2313
combined	2259	2281	2367	2390
combined	2336	2361	2470	2487
combined	2409	2435	2538	2559
combined	2496	2516	2616	2642
combined	2574	2595	2688	2713
combined	2659	2681	2767	2792
combined	2728	2746	2847	2877
combined	2826	2844	2934	2963
combined	2907	2928	3007	3033
combined	2982	3007	3095	3121
combined	3048	3069	3169	3195
combined	3141	3166	3266	3285
combined	3223	3248	3336	3361
combined	3297	3314	3413	3434
combined	3386	3405	3488	3511
combined	3458	3477	3582	3605
combined	3534	3563	3657	3683
combined	3612	3634	3742	3764
combined	3700	3720	3826	3847
combined	3787	3807	3888	3911
combined	3862	3881	3976	3998
combined	3935	3953	4062	4084
combined	4027	4048	4138	4156
combined	4091	4114	4224	4242
combined	4172	4199	4295	4317
combined	4261	4280	4376	4402
combined	4329	4356	4464	4483
combined	4411	4431	4541	4563
combined	4498	4520	4624	4644
combined	4571	4596	4704	4726
combined	4661	4679	4784	4804
combined	4740	4767	4866	4886
combined	4830	4847	4939	4961
combined	5130	5163	5252	5280
combined	5222	5248	5328	5361
combined	5295	5327	5409	5433
combined	5370	5391	5503	5526
combined	5449	5477	5576	5599
combined	5528	5552	5650	5680
combined	5624	5646	5736	5762
combined	5695	5721	5814	5842
combined	5784	5807	5903	5925
combined	5861	5888	5980	6003
combined	5934	5958	6047	6080
combined	6017	6044	6136	6157
combined	6262	6287	6369	6389
combined	6335	6355	6449	6469
combined	6414	6435	6539	6562
combined	6504	6526	6608	6627
combined	6573	6597	6688	6713
combined	6668	6688	6780	6804
combined	6741	6764	6856	6880
combined	6819	6838	6928	6947
combined	6890	6913	7009	7044
combined	6984	7005	7087	7113
combined	7051	7079	7175	7198
combined	7143	7165	7248	7272
combined	7376	7395	7493	7516
combined	7462	7479	7567	7594
combined	7534	7559	7652	7680
combined	7611	7635	7741	7764
combined	7708	7727	7821	7840
combined	7768	7796	7888	7910
combined	7861	7883	7983	8002
combined	7930	7950	8051	8071
combined	8017	8039	8133	8157
combined	8093	8112	8217	8240
combined	8186	8203	8292	8312
combined	8264	8285	8368	8392
combined	8335	8357	8450	8475
combined	8423	8447	8529	8554
combined	8495	8513	8610	8631
combined	8582	8604	8702	8724
combined	8669	8686	8775	8801
combined	8742	8762	8868	8887
combined	8822	8844	8930	8955
combined	8895	8914	9025	9047
combined	8986	9007	9097	9122
combined	9051	9068	9177	9195
combined	9150	9167	9249	9275
combined	9222	9247	9341	9363
combined	9289	9317	9407	9432
combined	9377	9398	9501	9521
combined	9608	9638	9737	9767
combined	9689	9707	9816	9841
combined	9774	9806	9904	9926
combined	9868	9887	9967	9985
combined	9946	9964	10065	10086
combined	10024	10045	10133	10155
combined	10103	10126	10228	10247
combined	10169	10191	10287	10305
combined	10267	10288	10383	10406
combined	10334	10360	10459	10480
combined	10408	10431	10528	10557
combined	10488	10514	10609	10638
combined	10575	10599	10697	10718
combined	10656	10673	10772	10789
combined	10746	10767	10849	10867
combined	10811	10838	10941	10966
combined	10893	10917	11019	11047
combined	10977	10997	11101	11126
combined	11061	11081	11182	11201
combined	11227	11248	11342	11363
