chrom	left_start	left_end	right_start	right_end
C_auris_panel	34	55	137	166
C_auris_panel	97	124	207	234
C_auris_panel	172	208	299	327
C_auris_panel	262	287	381	405
C_auris_panel	334	358	449	470
C_auris_panel	417	441	540	565
C_auris_panel	493	514	609	631
C_auris_panel	588	605	688	710
C_auris_panel	665	687	774	795
C_auris_panel	732	757	857	884
C_auris_panel	810	834	927	955
C_auris_panel	907	928	1023	1043
C_auris_panel	978	1002	1087	1122
C_auris_panel	1055	1079	1176	1200
C_auris_panel	1143	1168	1261	1283
C_auris_panel	1211	1231	1345	1367
C_auris_panel	1304	1328	1407	1435
C_auris_panel	1390	1406	1495	1523
C_auris_panel	1450	1478	1568	1595
C_auris_panel	1528	1553	1656	1682
C_auris_panel	1622	1647	1732	1754
C_auris_panel	1688	1710	1811	1837
C_auris_panel	1771	1794	1887	1913
C_auris_panel	1857	1883	1978	2006
C_auris_panel	1935	1961	2053	2081
C_auris_panel	2029	2048	2130	2157
C_auris_panel	2102	2127	2208	2234
C_auris_panel	2176	2197	2288	2313
C_auris_panel	2259	2281	2367	2390
C_auris_panel	2336	2361	2470	2487
C_auris_panel	2409	2435	2538	2559
C_auris_panel	2496	2516	2616	2642
C_auris_panel	2574	2595	2688	2713
C_auris_panel	2659	2681	2767	2792
C_auris_panel	2728	2746	2847	2877
C_auris_panel	2826	2844	2934	2963
C_auris_panel	2907	2928	3007	3033
C_auris_panel	2982	3007	3095	3121
C_auris_panel	3048	3069	3169	3195
C_auris_panel	3141	3166	3266	3285
C_auris_panel	3223	3248	3336	3361
C_auris_panel	3297	3314	3413	3434
C_auris_panel	3386	3405	3488	3511
C_auris_panel	3458	3477	3582	3605
C_auris_panel	3534	3563	3657	3683
C_auris_panel	3612	3634	3742	3764
C_auris_panel	3700	3720	3826	3847
C_auris_panel	3787	3807	3888	3911
C_auris_panel	3862	3881	3976	3998
C_auris_panel	3935	3953	4062	4084
C_auris_panel	4027	4048	4138	4156
C_auris_panel	4091	4114	4224	4242
C_auris_panel	4172	4199	4295	4317
C_auris_panel	4261	4280	4376	4402
C_auris_panel	4329	4356	4464	4483
C_auris_panel	4411	4431	4541	4563
